route_code,zone,hub,coverage_area,avg_distance_km,avg_stops,assigned_driver,sla_hours,active
RT-NOR-01,North,North Hub,North Sector 1,58,33,Suresh Patel,72,Yes
RT-NOR-02,North,North Hub,North Sector 2,19,18,Deepak Singh,48,Yes
RT-NOR-03,North,North Hub,North Sector 3,65,26,Anand Verma,48,Yes
RT-NOR-04,North,North Hub,North Sector 4,22,15,Ravi Kumar,24,Yes
RT-NOR-05,North,North Hub,North Sector 5,29,21,Deepak Singh,72,Yes
RT-NOR-06,North,North Hub,North Sector 6,68,22,Anand Verma,72,Yes
RT-NOR-07,North,North Hub,North Sector 7,34,25,Deepak Singh,24,Yes
RT-NOR-08,North,North Hub,North Sector 8,59,34,Deepak Singh,24,Yes
RT-NOR-09,North,North Hub,North Sector 9,78,40,Priya Sharma,24,Yes
RT-NOR-10,North,North Hub,North Sector 10,77,33,Kavita Reddy,24,Yes
RT-SOU-01,South,South Hub,South Sector 1,57,27,Priya Sharma,72,Yes
RT-SOU-02,South,South Hub,South Sector 2,29,28,Anand Verma,24,Yes
RT-SOU-03,South,South Hub,South Sector 3,32,38,Anand Verma,24,Yes
RT-SOU-04,South,South Hub,South Sector 4,52,40,Priya Sharma,72,Yes
RT-SOU-05,South,South Hub,South Sector 5,37,21,Deepak Singh,72,Yes
RT-SOU-06,South,South Hub,South Sector 6,35,35,Ravi Kumar,24,Yes
RT-SOU-07,South,South Hub,South Sector 7,59,38,Kavita Reddy,48,Yes
RT-SOU-08,South,South Hub,South Sector 8,47,24,Anand Verma,24,Yes
RT-SOU-09,South,South Hub,South Sector 9,34,37,Suresh Patel,24,Yes
RT-SOU-10,South,South Hub,South Sector 10,62,24,Kavita Reddy,72,Yes
RT-EAS-01,East,East Hub,East Sector 1,34,24,Anand Verma,72,Yes
RT-EAS-02,East,East Hub,East Sector 2,15,26,Anand Verma,48,Yes
RT-EAS-03,East,East Hub,East Sector 3,15,22,Deepak Singh,24,Yes
RT-EAS-04,East,East Hub,East Sector 4,63,27,Ravi Kumar,48,Yes
RT-EAS-05,East,East Hub,East Sector 5,31,39,Suresh Patel,48,Yes
RT-EAS-06,East,East Hub,East Sector 6,30,21,Priya Sharma,48,Yes
RT-EAS-07,East,East Hub,East Sector 7,31,39,Anand Verma,24,Yes
RT-EAS-08,East,East Hub,East Sector 8,71,32,Deepak Singh,72,Yes
RT-EAS-09,East,East Hub,East Sector 9,17,15,Kavita Reddy,72,Yes
RT-EAS-10,East,East Hub,East Sector 10,57,27,Kavita Reddy,72,Yes
RT-WES-01,West,West Hub,West Sector 1,10,15,Priya Sharma,24,Yes
RT-WES-02,West,West Hub,West Sector 2,53,28,Anand Verma,72,Yes
RT-WES-03,West,West Hub,West Sector 3,65,36,Priya Sharma,48,Yes
RT-WES-04,West,West Hub,West Sector 4,64,37,Suresh Patel,72,Yes
RT-WES-05,West,West Hub,West Sector 5,79,18,Kavita Reddy,72,Yes
RT-WES-06,West,West Hub,West Sector 6,65,27,Suresh Patel,48,Yes
RT-WES-07,West,West Hub,West Sector 7,15,15,Anand Verma,48,Yes
RT-WES-08,West,West Hub,West Sector 8,38,40,Priya Sharma,72,Yes
RT-WES-09,West,West Hub,West Sector 9,33,39,Ravi Kumar,72,Yes
RT-WES-10,West,West Hub,West Sector 10,32,26,Ravi Kumar,24,Yes
RT-CEN-01,Central,Central Hub,Central Sector 1,32,33,Suresh Patel,48,Yes
RT-CEN-02,Central,Central Hub,Central Sector 2,58,25,Priya Sharma,24,Yes
RT-CEN-03,Central,Central Hub,Central Sector 3,49,34,Ravi Kumar,24,Yes
RT-CEN-04,Central,Central Hub,Central Sector 4,69,39,Priya Sharma,24,Yes
RT-CEN-05,Central,Central Hub,Central Sector 5,41,39,Deepak Singh,24,Yes
RT-CEN-06,Central,Central Hub,Central Sector 6,55,30,Anand Verma,72,Yes
RT-CEN-07,Central,Central Hub,Central Sector 7,13,24,Deepak Singh,48,Yes
RT-CEN-08,Central,Central Hub,Central Sector 8,52,34,Ravi Kumar,24,Yes
RT-CEN-09,Central,Central Hub,Central Sector 9,28,34,Suresh Patel,24,Yes
RT-CEN-10,Central,Central Hub,Central Sector 10,61,24,Kavita Reddy,72,Yes
